Description,Dist,S-N,Wypt,N-S
Region 4E Eastern Corridor,,,,
Three Lakes East-West Jct to Ocala East-West Jct,,,,
Description,Dist,S-N,Wypt,N-S
Cross CR 523 at Prairie Lakes entrance.,0.8,0.0,33-5,203.2
South jct with stream.,0.3,0.8,,202.4
"Follow along stream off and on, usually W.",,,,
North jct with stream.,0.1,1.1,,202.1
Cross WMA Road 3 (loop access road).,0.8,1.2,,202.0
Cross WMA Road 3 (loop access road).,1.2,2.0,,201.2
Jct trail and Williams Rd.,0.1,3.2,33-6,200.0
Pass under Florida's Turnpike on Williams Rd.,,,,
Jct Williams Rd. and trail.,1.4,3.3,,199.9
Cross Williams Rd.,0.9,4.7,,198.5
Pass oak hammock.,0.1,5.6,,197.6
Jct with 0.1-mile blue-blaze to Three Lakes Camp.,0.8,5.7,,197.5
"C, RG, PT, W from pump.",,,,
Cross stream on bridge. Usually W.,0.8,6.5,,196.7
Cross forest road.,0.8,7.3,,195.9
North jct with forest road.,0.3,8.1,,195.1
South jct with forest road.,0.6,8.4,,194.8
Cross rocky stream.,0.5,9.0,,194.2
Cross sandy forest road.,1.2,9.5,,193.7
Cross bridge.,0.1,10.7,,192.5
Cross fence on stile. Jct US 441.,2.6,10.8,33-7,192.4
Follow US 441.,,,,
Jct US 441 at stile over Forever Florida fence.,0.5,13.4,33-8,189.8
Note: Hiking on the trail through the Florida Forever,,,,
"property is limited to FTA members, who must",,,,
carry membership cards. Members should phone,,,,
Florida Forever before crossing their property at,,,,
"407-957-9794, 9am to 5pm daily.",,,,
Pass Central Florida Animal Reserve facility.,0.1,13.9,,189.3
STAY ON TRAIL.,,,,
Jct Broussard Lane.,0.2,14.0,,189.2
Jct Forever Florida service road. Cypress,1.8,14.2,,189.0
Restaurant and visitor center 0.5 miles north on,,,,
"blue-blazed spur trail. M, R, P, PW.",,,,
Pass side trail to boardwalk overlooking Bull Creek,1.0,16.0,,187.2
(150 feet to west).,,,,
Jct Forever Florida service road at Sawgrass,1.3,17.0,,186.2
Slough. W.,,,,
Jct Forever Florida service road.,1.9,18.3,24-1,184.9
Cross fence stile at Forever Florida/Bull Creek,0.1,20.2,24-2,183.0
WMA boundary. Note: Hiking on the trail through,,,,
the Florida Forever property is limited to FTA,,,,
"members, who must carry membership cards.",,,,
Members should phone Florida Forever before,,,,
"crossing their property at 407-957-9794, 9am to",,,,
5pm daily.,,,,
Thru trail heads south. 6.5-mile Bull Creek West,,,,
loop trail goes north to Bull Creek entrance and hunt,,,,
camp.,,,,
Follow boundary fence.,,,,
“Y” jct of jeep roads.,0.7,20.3,,182.9
“T” jct with jeep road.,1.2,21.0,,182.2
“Y” jct of jeep roads.,0.5,22.2,,181.0
"Little Scrub Campsite. C, W, PT. (Note: Pump",0.4,22.7,24-3,180.5
unreliable; nearest reliable water source NOBO is,,,,
Billy Lake.),,,,
1,,,,

Description,Dist,S-N,Wypt,N-S
Cross Billy Lake Road. Billy Lake 0.6 miles south.,1.1,23.1,,180.1
W.,,,,
Cross Mizell Ford Road. Bull Creek 0.2 miles east.,0.2,24.2,,179.0
South jct with tramway.,0.5,24.4,,178.8
North jct with tramway.,0.3,24.9,,178.3
South jct with tramway.,0.4,25.2,24-4,178.0
Pass Loop Rd to north.,0.5,25.6,,177.6
Cross jeep road on tramway.,1.3,26.1,,177.1
North jct with tramway.,1.2,27.4,,175.8
South jct with tramway.,0.5,28.6,,174.6
North jct with tramway.,0.1,29.1,,174.1
Briefly join Loop Rd to cross Yoke Branch. W.,0.3,29.2,24-5,174.0
South end 1.0-mile blue-blazed high water route.,,,,
Follow edge of cypress swamp along Bull Creek.,,,,
South jct with tramway.,1.0,29.5,,173.7
North jct with tramway.,0.3,30.5,,172.7
Jct trail and forest road just east of Loop Rd at,0.5,30.8,,172.4
hairpin turn. North end 1.0-mile blue-blazed high-,,,,
water route.,,,,
Jct with loop trail to the west (west loop trail).,1.0,31.3,24-6,171.9
Cross mowed wildlife clearing.,0.9,32.3,,170.9
Cross foot bridges through Crabgrass Creek. W.,0.2,33.2,,170.0
"Jane Green Campsite at pitcher pump. C, W.",0.4,33.4,,169.8
(Note: Pump unreliable; nearest reliable water,,,,
"source is Crabgrass Creek, 0.2 miles SOBO.)",,,,
Turn at fence corner. DO NOT CROSS FENCE.,0.5,33.8,,169.4
Jct trail and Levee 73. RG.,0.1,34.3,,168.9
Jct US 192 and Levee 73. P.,2.4,34.4,24-7,168.8
Follow US 192 (E. Bronson Hwy.).,,,,
Jct US 192 and CR 419.,5.7,36.8,24-8,166.4
