Description,Dist,S-N,Wypt,N-S
Region 5 North Florida,,,,
Ocala East-West Jct to Winquepin St./CR 255,,,,
Description,Dist,S-N,Wypt,N-S
Jct Eastern and Western Corridor routes.,0.2,0.0,19-3,219.8
Ocala National Forest. The Ocala has,,,,
renumbered their road system. The numbers,,,,
used here are the new numbers followed by the,,,,
old numbers in parentheses.,,,,
Cross CR 316. North Hunt HQ to East. P.,0.6,0.2,,219.6
Cross FR 11 (old 88).,0.8,0.8,,219.0
Jct with 0.1-mile blue-blaze west to Grassy Pond.,1.0,1.6,19-4,218.2
"C, W.",,,,
Cross NE 219 Terrace & power line.,0.9,2.6,,217.2
Cross FR 11-17.39 (old 25).,1.6,3.5,,216.3
Pass old clay pit.,0.2,5.1,,214.7
Cross FR 316-7.1 (old 56).,0.2,5.3,,214.5
Cross yellow-blazed ORV trail (old 85-A).,0.4,5.5,,214.3
Cross FR 66 (old 75). Blue-blaze to Lake Delancy.,2.0,5.9,19-5,213.9
"CG, PT, FG, R. Open Oct - May.",,,,
Cross FR 11 (old 88).,0.6,7.9,,211.9
Cross FR 66-5.9B (old 88-F).,1.1,8.5,,211.3
Cross FR 70 (old 31). North side of Riverside,0.8,9.6,,210.2
Island.,,,,
Cross FR 70 (old 31A).,0.3,10.4,,209.4
Cross powerline and maintenance road.,0.2,10.7,,209.1
Cross FR 74 (old 77). W from pond.,1.5,10.9,19-6,208.9
"Jct Rodman Reservoir. C, W.",0.2,12.4,,207.4
West jct with Kirkpatrick Dam Rd. at metal gate. P.,0.7,12.6,,207.2
Cross spillway. Spillway is Ocala National,0.4,13.3,19-7,206.5
Forest/Cross Florida Greenway boundary.,,,,
"Pass boat access road. Day P, R, PW, PT.",0.2,13.7,,206.1
Cross vehicle barrier gate on old road.,0.8,13.9,,205.9
"Pass 0.4-mile blue-blaze into Rodman CG, RG. C,",0.3,14.7,,205.1
"PW, R, secured P. NOBO can call Buckman Lock",,,,
from fee station.,,,,
Cross Kirkpatrick Dam Rd. at Berm Rd.,0.4,15.0,19-8,204.8
Turn at Berm Rd. jct with canal embankment. Gate.,1.7,15.4,,204.4
"Rodman CG to east, R, PW.",,,,
Follow canal upper embankment and fence line.,,,,
Jct upper and lower embankments.,0.3,17.1,,202.7
Cross under transmission line and SR 19.,0.5,17.4,,202.4
Pass gauging station.,1.2,17.9,,201.9
"St Johns South camp area. P, PT.",0.1,19.1,,200.7
Cross Buckman Lock. Locked gates on both sides.,0.1,19.2,,200.6
"Lock hours: 6:30 am to 3 pm, seven days a week.",,,,
"Cross Florida Greenway Visitor Center. P, R, PW,",,,,
"PT. VC is closed, restrooms are open.",,,,
Jct with Buckman Lock Rd at fence-line/vehicle-,0.8,19.3,19-9,200.5
